record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
721,ft_721,NA,Exclude - Full Text,"No data, no pathogen data",J2RDLHLV,2010,"Bermudez, Sergio E.; Gonzalez, Publio; Avila, Mario; Miranda, Roberto; Armien, Anibal; Armien, Blas",Parasitism of Cuterebra sp (Diptera: Oestridae s.l.) on rodents of Central Panama,REVISTA MEXICANA DE BIODIVERSIDAD,1870-3453,NA,1,81,NA,NA,NA,NA,Section: 0,NA,NA,NA
722,ft_722,NA,Include - Title/Abstract,NA,TRLZKRG4,2009,"Korva, Misa; Duh, Darja; Puterle, Ajda; Trilar, Tomi; Zupanc, Tatjana Avsic",First molecular evidence of Tula hantavirus in Microtus voles in Slovenia,VIRUS RESEARCH,0168-1702,10.1016/j.virusres.2009.04.021,01-Feb,144,NA,Slovenia,NA,NA,Section: 0,NA,NA,NA
723,ft_723,NA,Include - Title/Abstract,NA,6ESVUVDH,2023,"Cabrera, Andres; Romero, David; Guerrero, Jose Carlos; Clara, Mario; Delfraro, Adriana",Deciphering the Hantavirus Host Range Combining Virology and Species Distribution Models with an Emphasis on the Yellow Pygmy Rice Rat (Oligoryzomys flavescens),TRANSBOUNDARY AND EMERGING DISEASES,1865-1674,10.1155/2023/2730050,NA,2023,NA,Uruguay,NA,NA,Section: 0,NA,NA,NA
724,ft_724,NA,Include - Title/Abstract,NA,33L4EYGX,2022,"Perez-Umphrey, Anna A.; Jonsson, Colleen B.; Bonisoli-Alquati, Andrea; Snider, Allison M.; Stouffer, Philip C.; Taylor, Sabrina S.",Sex and habitat drive hantavirus prevalence in marsh rice rat populations impacted by the Deepwater Horizon oil spill,ECOSPHERE,2150-8925,10.1002/ecs2.3929,2,13,NA,USA,NA,NA,Section: 0,NA,NA,NA
725,ft_725,NA,Include - Title/Abstract,NA,25JKSDMU,2020,"Cuypers, Laura N.; Baird, Stuart J. E.; Hanova, Alexandra; Locus, Tatjana; Katakweba, Abdul S.; Gryseels, Sophie; Bryja, Josef; Leirs, Herwig; de Bellocq, Joelle Gouy","Three arenaviruses in three subspecific natal multimammate mouse taxa in Tanzania: same host specificity, but different spatial genetic structure?",VIRUS EVOLUTION,NA,10.1093/ve/veaa039,2,6,NA,Tanzania,NA,NA,Section: 0,NA,NA,NA
726,ft_726,NA,Include - Title/Abstract,NA,54NEVXPP,2019,"Colombo, Valeria C.; Brignone, Julia; Sen, Carina; Andrea Previtali, M.; Laura Martin, M.; Levis, Silvana; Monje, Lucas; Gonzalez-Ittig, Raid; Beldomenico, Pablo M.",Orthohantavirus genotype Lechiguanas in Oligoryzomys nigripes (Rodentia: Cricetidae): New evidence of host-switching,ACTA TROPICA,0001-706X,10.1016/j.actatropica.2018.12.040,NA,191,NA,Argentina,NA,NA,Section: 0,NA,NA,NA
727,ft_727,NA,Exclude - Full Text,Not wild caught rodents,C5UC5YVX,2017,"Mcelhinney, L. M.; Marston, D. A.; Pounder, K. C.; Goharriz, H.; Wise, E. L.; Verner-Carlsson, J.; Jennings, D.; Johnson, N.; Civello, A.; Nunez, A.; Brooks, T.; Breed, A. C.; Lawes, J.; Lundkvist, A.; Featherstone, C. A.; Fooks, A. R.",High prevalence of Seoul hantavirus in a breeding colony of pet rats,EPIDEMIOLOGY AND INFECTION,0950-2688,10.1017/S0950268817001819,15,145,NA,NA,NA,NA,Section: 0,NA,NA,NA
728,ft_728,NA,Exclude - Full Text,"No data, no hanta or arenavirus",HW7NLIMS,2016,"Zheng, Xue-yan; Qiu, Min; Ke, Xue-mei; Zhou, Wen; Guan, Wei-jie; Chen, Shao-wei; Li, Jin-ming; Huo, Shu-ting; Chen, Hui-fang; Jiang, Li-na; Zhong, Xue-shan; Xiong, Yi-quan; Ma, Shu-juan; Ge, Jing; Chen, Qing",Molecular Detection and Phylogenetic Characteristics of Herpesviruses in Rectal Swab Samples from Rodents and Shrews in Southern China,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,10.1089/vbz.2015.1908,7,16,NA,China,NA,NA,Section: 0,NA,NA,NA
729,ft_729,NA,Exclude - Full Text,"No data, no hanta or arenavirus",J63PPKJW,2011,"Kinnunen, Paula M.; Henttonen, Heikki; Hoffmann, Bernd; Kallio, Eva R.; Korthase, Christian; Laakkonen, Juha; Niemimaa, Jukka; Palva, Airi; Schlegel, Mathias; Ali, Hanan Sheikh; Suominen, Paula; Ulrich, Rainer G.; Vaheri, Antti; Vapalahti, Olli",Orthopox Virus Infections in Eurasian Wild Rodents,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,10.1089/vbz.2010.0170,8,11,NA,NA,NA,NA,Section: 0,NA,NA,NA
730,ft_730,NA,Include - Title/Abstract,NA,2CUZM7ZU,1995,"SIBOLD, C; SPARR, S; SCHULZ, A; LABUDA, M; KOZUCH, O; LYSY, J; KRUGER, DH; MEISEL, H",GENETIC-CHARACTERIZATION OF A NEW HANTAVIRUS DETECTED IN MICROTUS-ARVALIS FROM SLOVAKIA,VIRUS GENES,0920-8569,10.1007/BF01701817,3,10,NA,Slovakia,NA,NA,Section: 0,NA,NA,NA
731,ft_731,NA,Include - Title/Abstract,NA,XBCUXKZP,2000,"Biggs, JR; Bennett, KD; Torrez-Martinez, N; Hjelle, BL",Sin nombre virus antibody prevalence in rodents of north-central New Mexico,SOUTHWESTERN NATURALIST,0038-4909,10.2307/3672552,1,45,NA,USA,NA,NA,Section: 0,NA,NA,NA
732,ft_732,NA,Include - Title/Abstract,NA,UZCF6BNK,2023,"Andreychev, Alexey; Boyarova, Ekaterina; Brandler, Oleg; Tukhbatullin, Andrei; Kapustina, Svetlana",Terrestrial and Subterranean Mammals as Reservoirs of Zoonotic Diseases in the Central Part of European Russia,DIVERSITY-BASEL,NA,10.3390/d15010039,1,15,NA,Russia,NA,NA,Section: 0,NA,NA,NA
733,ft_733,NA,Include - Title/Abstract,NA,8Q85G8SZ,2016,"Madai, M.; Nemeth, V.; Oldal, M.; Horvath, G.; Herczeg, R.; Pinter, R.; Kutas, A.; Dallos, B.; Banyai, K.; Jakab, F.",Serological survey of hantavirus infection among rodents in Hungary,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1201-9712,10.1016/j.ijid.2016.11.316,S,53,NA,Hungary,NA,NA,Section: 0,NA,NA,NA
734,ft_734,NA,Include - Title/Abstract,NA,PQD5VJAN,2014,"Tadin, A.; Bjedov, L.; Margaletic, J.; Zibrat, B.; Krajinovic, L. Cvetko; Svoboda, P.; Kurolt, I. C.; Majetic, Z. Stritof; Turk, N.; Rode, O. Dakovic; Civljak, R.; Kuzman, I.; Markotic, A.",High infection rate of bank voles (Myodes glareolus) with Puumala virus is associated with a winter outbreak of haemorrhagic fever with renal syndrome in Croatia,EPIDEMIOLOGY AND INFECTION,0950-2688,10.1017/S095026881300321X,9,142,NA,Croatia,NA,NA,Section: 0,NA,NA,NA
735,ft_735,NA,Exclude - Full Text,"No data, abstract only",PJWDZGTK,2008,"Chandy, S.; Yoshimatsu, K.; Ulrich, R. G.; Schlegel, M.; Prakash, D. J.; Balraj, V.; Abraham, P.; Arikawa, J.; Sridharan, G.",Evidence of Hantavirus Infection Among Rodents in South India,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1201-9712,10.1016/j.ijid.2008.05.327,NA,12,NA,India,NA,NA,Section: 0,NA,NA,NA
736,ft_736,NA,Include - Title/Abstract,NA,NDZADHHE,2007,"Jakab, F.; Horvath, G.; Ferenczi, E.; Szucs, G.","Detection of Dobrava hantavirus infections in rodents (Apodemus agrarius, A-flavicollis) in the Transdanubian region of Hungary",INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,0924-8579,10.1016/S0924-8579(07)70899-3,2,29,NA,Hungary,NA,NA,Section: 0,NA,NA,NA
737,ft_737,NA,Include - Title/Abstract,NA,GAD3SQ8W,1994,"CLEMENT, J; COLSON, P; HTOMAS, I; MCKENNA, P; NEYTS, J; COECK, J; VANDERGROEN, G; LEIRS, H; VERHAGEN, R",HANTAVIRUS INFECTION IN BELGIUM,ANNALES DE MEDECINE VETERINAIRE,0003-4118,NA,4,138,NA,NA,NA,NA,Section: 0,NA,NA,NA
738,NA,NA,Exclude - Full Text,"No data, abstract only",CZS7VAPD,1987,"PILASKI, J; PECENY, R; ZOLLER, L; BLENK, H; KRAFT, V; LEE, HW",A SEROEPIDEMIOLOGICAL SURVEY OF HANTAVIRUS INFECTIONS IN RODENTS CAPTURED IN WESTERN GERMANY,ZENTRALBLATT FUR BAKTERIOLOGIE MIKROBIOLOGIE UND HYGIENE SERIES A-MEDICAL MICROBIOLOGY INFECTIOUS DISEASES VIROLOGY PARASITOLOGY,0174-3031,NA,1,267,NA,NA,NA,NA,Section: 0,NA,NA,NA
739,NA,NA,Include - Title/Abstract,NA,3EMSAUCK,1987,"LEIRS, H",STRONG RELATION BETWEEN HUMAN CLINICAL CASES OF HANTAVIRUS-DISEASE AND INFECTED RODENT POPULATIONS IN BELGIUM,ANNALES DE LA SOCIETE ROYALE ZOOLOGIQUE DE BELGIQUE,0771-5528,NA,1,117,NA,NA,NA,NA,Section: 0,NA,NA,NA
740,ft_740,NA,Exclude - Full Text,"No data, review",2BACM5SG,1975,"ARATA, AA; GRATZ, NG",STRUCTURE OF RODENT FAUNAS ASSOCIATED WITH ARENAVIRAL INFECTIONS,BULLETIN OF THE WORLD HEALTH ORGANIZATION,NA,NA,04-Jun,52,NA,NA,NA,NA,Section: 0,NA,NA,NA
741,NA,NA,Include - Title/Abstract,NA,QAB9EZBL,1971,"MAIZTEGUI, JI; AGUIRRE, GM; SABATTIN.MS; ORO, JGB",ACTIVITY OF ARENAVIRUS IN HUMAN BEINGS AND RODENTS IN SAME PLACE OF ENDEMIC ZONE OF ARGENTINE HEMORRHAGIC-FEVER,MEDICINA,NA,NA,6,31,NA,NA,NA,NA,Section: 0,NA,NA,NA
742,ft_742,NA,Include - Title/Abstract,NA,5SF9YRS2,2008,"Charbonnel, Nathalie; Deter, Julie; Chaval, Yannick; Laakkonen, Juha; Henttonen, Heikki; Voutilainen, Liina; Vapalahti, Olli; Vaheri, Antti; Morand, Serge; Cosson, Jean-Francois",Serological Evidence of Viruses Naturally Associated with the Montane Water Vole (Arvicola scherman) in Eastern France,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,10.1089/vbz.2007.0167,6,8,NA,France,NA,NA,Section: 0,NA,NA,NA
743,ft_743,NA,Include - Title/Abstract,NA,JAFST476,2018,"Olayemi, Ayodeji; Obadare, Adeoba; Oyeyiola, Akinlabi; Fasogbon, Samuel; Igbokwe, Joseph; Igbahenah, Felix; Ortsega, Daniel; Guenther, Stephan; Verheyen, Erik; Fichet-Calvet, Elisabeth","Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the lassa virus",SYSTEMATICS AND BIODIVERSITY,1477-2000,10.1080/14772000.2017.1358220,2,16,NA,Nigeria,NA,NA,Section: 0,NA,NA,NA
744,ft_744,NA,Exclude - Full Text,"No data, no pathogen",R4SXWSNS,2017,"Milesi, Fernando A.; Laura Guichon, Maria; Monteverde, Martin J.; Piudo, Luciana; Sanguinetti, Javier","Ecological consequences of an unusual simultaneous masting of Araucaria araucana and Chusquea culeou in North-West Patagonia, Argentina",AUSTRAL ECOLOGY,1442-9985,10.1111/aec.12489,6,42,NA,NA,NA,NA,Section: 0,NA,NA,NA
745,ft_745,NA,Include - Title/Abstract,NA,YYIACVZB,2017,"Fevola, Cristina; Rossi, Chiara; Rosa, Roberto; Nordstrom, Ake; Ecke, Frauke; Magnusson, Magnus; Miller, Andrea L.; Niemimaa, Jukka; Olsson, Gert E.; Jaaskelainen, Anne J.; Hornfeldt, Birger; Henttonen, Heikki; Hauffe, Heidi C.",DISTRIBUTION AND SEASONAL VARIATION OF LJUNGAN VIRUS IN BANK VOLES (MYODES GLAREOLUS) IN FENNOSCANDIA,JOURNAL OF WILDLIFE DISEASES,0090-3558,10.7589/2016-06-145,3,53,NA,"Finland, Sweden",NA,NA,Section: 0,NA,NA,NA
746,ft_746,NA,Include - Title/Abstract,NA,YKFNBZHU,2013,"Koma, T.; Yoshimatsu, K.; Yasuda, S. P.; Li, T.; Amada, T.; Shimizu, K.; Isozumi, R.; Mai, L. T. Q.; Hoa, N. T.; Nguyen, V.; Yamashiro, T.; Hasebe, F.; Arikawa, J.",A survey of rodent-borne pathogens carried by wild Rattus spp. in Northern Vietnam,EPIDEMIOLOGY AND INFECTION,0950-2688,10.1017/S0950268812002385,9,141,NA,Vietnam,NA,NA,Section: 0,NA,NA,NA
747,ft_747,NA,Include - Title/Abstract,NA,5ZRQ23GQ,2007,"Walsh, Andrew S.; Louis, Thomas A.; Glass, Gregory E.",Detecting multiple levels of effect during survey sampling using a Bayesian approach: Point prevalence estimates of a hantavirus in hispid cotton rats (Sigmodon hispidus),ECOLOGICAL MODELLING,0304-3800,10.1016/j.ecolmodel.2007.01.016,01-Feb,205,NA,USA,NA,NA,Section: 0,NA,NA,NA
748,ft_748,NA,Include - Title/Abstract,NA,JAHDDGSU,2021,"Douglas, Kirk Osmond; Cayol, Claire; Forbes, Kristian Michael; Samuels, Thelma Alafia; Vapalahti, Olli; Sironen, Tarja; Gittens-St Hilaire, Marquita",Serological Evidence of Multiple Zoonotic Viral Infections among Wild Rodents in Barbados,PATHOGENS,NA,10.3390/pathogens10060663,6,10,NA,Barbados,NA,NA,Section: 0,NA,NA,NA
749,ft_749,NA,Include - Title/Abstract,NA,FLSVSZ3M,2020,"Tian, Hui; Tie, Wei-Fang; Li, Hongbing; Hu, Xiaoqian; Xie, Guang-Cheng; Du, Luan-Ying; Guo, Wen-Ping","Orthohantaviruses infections in humans and rodents in Baoji, China",PLOS NEGLECTED TROPICAL DISEASES,1935-2735,10.1371/journal.pntd.0008778,10,14,NA,China,NA,NA,Section: 0,NA,NA,NA
750,ft_750,NA,Include - Title/Abstract,NA,Z8ZTJXNK,2018,"Monchatre-Leroy, E.; Murri, S.; Castel, G.; Calavas, D.; Boue, F.; Henaux, V.; Marianneau, P.","First insights into Puumala orthohantavirus circulation in a rodent population in Alsace, France",ZOONOSES AND PUBLIC HEALTH,1863-1959,10.1111/zph.12464,5,65,NA,France,NA,NA,Section: 0,NA,NA,NA
751,ft_751,NA,Include - Title/Abstract,NA,MBNB5JQU,2018,"Zhang, You; Rao, Langyu; Lv, Gang; Zhang, Lei; Fu, Ruijia; Wang, Shanshan; Wu, Yue; Cui, Xiuji; Yin, Feifei","Complete Genome Sequence of a Mammarenavirus Harbored by Rodents on Hainan Island, China",GENOME ANNOUNCEMENTS,NA,10.1128/genomeA.00129-18,10,6,NA,China,NA,NA,Section: 0,NA,NA,NA
752,ft_752,NA,Include - Title/Abstract,NA,45XAUUX7,2015,"Tian, Huai-Yu; Yu, Peng-Bo; Luis, Angela D.; Bi, Peng; Cazelles, Bernard; Laine, Marko; Huang, Shan-Qian; Ma, Chao-Feng; Zhou, Sen; Wei, Jing; Li, Shen; Lu, Xiao-Ling; Qu, Jian-Hui; Dong, Jian-Hua; Tong, Shi-Lu; Wang, Jing-Jun; Grenfell, Bryan; Xu, Bing","Changes in Rodent Abundance and Weather Conditions Potentially Drive Hemorrhagic Fever with Renal Syndrome Outbreaks in Xi'an, China, 2005-2012",PLOS NEGLECTED TROPICAL DISEASES,1935-2735,10.1371/journal.pntd.0003530,3,9,NA,China,NA,NA,Section: 0,NA,NA,NA
753,ft_753,NA,Include - Title/Abstract,NA,UMWAPMZM,2009,"Guenther, Stephan; Hoofd, Guy; Charrel, Remi; Roeser, Christina; Becker-Ziaja, Beate; Lloyd, Graham; Sabuni, Christopher; Verhagen, Ron; van der Groen, Guido; Kennis, Jan; Katakweba, Abdul; Machang'u, Robert; Makundi, Rhodes; Leirs, Herwig","Mopeia Virus-related Arenavirus in Natal Multimammate Mice, Morogoro, Tanzania",EMERGING INFECTIOUS DISEASES,1080-6040,10.3201/eid1512.090864,12,15,NA,Tanzania,NA,NA,Section: 0,NA,NA,NA
754,ft_754,NA,Include - Title/Abstract,NA,4NLPEQCV,2007,"Fair, Joseph; Jentes, Emily; Inapogui, Alphonse; Kourouma, Kerfella; Goba, Agustine; Bah, Alpha; Tounkara, Michel; Coulibaly, Mamadi; Garry, Robert F.; Bausch, Daniel G.",Lassa virus-infected rodents in refugee camps in Guinea: A looming threat to public health in a politically unstable region,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,10.1089/vbz.2006.0581,2,7,NA,Guinea,NA,NA,Section: 0,NA,NA,NA
755,ft_755,NA,Include - Title/Abstract,NA,UJ65JAT7,2017,"Drewes, S.; Turni, H.; Rosenfeld, U. M.; Obiegala, A.; Strakova, P.; Imholt, C.; Glatthaar, E.; Dressel, K.; Pfeffer, M.; Jacob, J.; Wagner-Wiening, C.; Ulrich, R. G.",Reservoir-Driven Heterogeneous Distribution of Recorded Human Puumala virus Cases in South-West Germany,ZOONOSES AND PUBLIC HEALTH,1863-1959,10.1111/zph.12319,5,64,NA,Germany,NA,NA,Section: 0,NA,NA,NA
756,NA,NA,Exclude - Full Text,"No data, no hanta or arenvirus",ADSII9FI,2008,"Wootta, Wattanapong; Imvithaya, Amporn; Pattamadilok, Sirima; Saisongkorh, Watcharee; Kampirasart, Sanit; Panyaruggit, Preecha; Pangjai, Decha; Sangdee, Araya; Sawanpanyalert, Pathom","SURVEY OF ECTOPARASITE FAUNA AND ASSOCIATED DISEASES IN THE PROVINCES ALONG THAILAND-MYANMAR, LAOS AND CAMBODIA BORDER",JOURNAL OF HEALTH RESEARCH,0857-4421,NA,4,22,NA,NA,NA,NA,Section: 0,NA,NA,NA
757,ft_757,NA,Include - Title/Abstract,NA,2YJLCRJN,1995,"PLYUSNIN, A; VAPALAHTI, O; LEHVASLAIHO, H; APEKINA, N; MIKHAILOVA, T; GAVRILOVSKAYA, I; LAAKKONEN, J; NIEMIMAA, J; HENTTONEN, H; BRUMMERKORVENKONTIO, M; VAHERI, A","GENETIC-VARIATION OF WILD PUUMALA VIRUSES WITHIN THE SEROTYPE, LOCAL RODENT POPULATIONS AND INDIVIDUAL ANIMAL",VIRUS RESEARCH,0168-1702,10.1016/0168-1702(95)00038-R,1,38,NA,"Finland, Russia",NA,NA,Section: 0,NA,NA,NA
758,ft_758,NA,Include - Title/Abstract,NA,WJQ832JR,2009,"Sames, William J.; Klein, Terry A.; Kim, Heung Chul; Chong, Sung Tae; Lee, In Yong; Gu, Se Hun; Park, Yon Mi; Jeong, Ji Hye; Song, Jin-Won","Ecology of Hantaan virus at Twin Bridges Training Area, Gyeonggi Province, Republic of Korea, 2005-2007",JOURNAL OF VECTOR ECOLOGY,NA,10.1111/j.1948-7134.2009.00030.x,2,34,NA,Republic of Korea,NA,NA,Section: 0,NA,NA,NA
759,ft_759,NA,Include - Title/Abstract,NA,MSA8HUTT,2022,"Sunil-Chandra, N. P.; Fahlman, Asa; Waidyarathna, Shantha; Naslund, Jonas; Jayasundara, M. V. M. L.; Wesula, Lwande Olivia; Bucht, Goran",Evidence of orthohantavirus and leptospira infections in small mammals in an endemic area of Gampaha district in Sri Lanka,ONE HEALTH OUTLOOK,2524-4655,10.1186/s42522-022-00073-y,1,4,NA,Sri Lanka,NA,NA,Section: 0,NA,NA,NA
760,ft_760,NA,Include - Title/Abstract,NA,XMNB4MTV,2022,"Munjita, Samuel Munalula; Moonga, Given; Mukubesa, Andrew Nalishuwa; Ndebe, Joseph; Mubemba, Benjamin; Vanaerschot, Manu; Tato, Cristina; Tembo, John; Kapata, Nathan; Chitanga, Simbarashe; Changula, Katendi; Kajihara, Mashiro; Muleya, Walter; Takada, Ayato; Fichet-Calvet, Elisabeth; Zumla, Alimuddin; Sawa, Hirofumi; Bates, Matthew; Munsaka, Sody; Simulundu, Edgar",Luna Virus and Helminths in Wild Mastomys natalensis in Two Contrasting Habitats in Zambia: Risk Factors and Evidence of Virus Dissemination in Semen,PATHOGENS,NA,10.3390/pathogens11111345,11,11,NA,Zambia,NA,NA,Section: 0,NA,NA,NA
761,ft_761,NA,Include - Title/Abstract,NA,JBLXUUUM,2015,"Ali, Hanan Sheikh; Drewes, Stephan; Weber de Melo, Vanessa; Schlegel, Mathias; Freise, Jona; Groschup, Martin H.; Heckel, Gerald; Ulrich, Rainer G.",Complete genome of a Puumala virus strain from Central Europe,VIRUS GENES,0920-8569,10.1007/s11262-014-1157-6,2,50,NA,Germany,NA,NA,Section: 0,NA,NA,NA
762,ft_762,NA,Include - Title/Abstract,NA,TTKTBAGB,2005,"Cvetko, L; Markotic, A; Plyusnina, A; Margaletic, J; Miletic-Medved, M; Turk, N; Milas, Z; Avsic-Zupanc, T; Plyusnin, A",Puumala virus in Croatia in the 2002 HFRS outbreak,JOURNAL OF MEDICAL VIROLOGY,0146-6615,10.1002/jmv.20448,2,77,NA,Croatia,NA,NA,Section: 0,NA,NA,NA
763,ft_763,NA,Include - Title/Abstract,NA,Z45L7HFL,2021,"Eleftheriou, Andreas; Kuenzi, Amy J.; Luis, Angela D.",Heterospecific competitors and seasonality can affect host physiology and behavior: key factors in disease transmission,ECOSPHERE,2150-8925,10.1002/ecs2.3494,6,12,NA,USA,NA,NA,Section: 0,NA,NA,NA
764,ft_764,NA,Include - Title/Abstract,NA,INWT74P5,2019,"Christova, Iva; Trifonova, Iva; Panayotova, Elitsa; Dimitrov, Hristo; Gladnishka, Teodora",Molecular identification of Puumala orthohantavirus in Bulgaria,INFECTION GENETICS AND EVOLUTION,1567-1348,10.1016/j.meegid.2019.02.023,NA,70,NA,Bulgaria,NA,NA,Section: 0,NA,NA,NA
765,ft_765,NA,Include - Title/Abstract,NA,UU9HDZRG,2017,"Yu, Pengbo; Li, Yidan; Xu, Bo; Wei, Jing; Li, Shen; Dong, Jianhua; Qu, Jianhui; Xu, Jing; Huang, Zheng Y. X.; Ma, Chaofeng; Yang, Jing; Zhang, Guogang; Chen, Bin; Huang, Shanqian; Shi, Chunming; Gao, Hongwei; Liu, Feng; Tian, Huaiyu; Stenseth, Nils Chr.; Xu, Bing; Wang, Jingjun","Using Satellite Data for the Characterization of Local Animal Reservoir Populations of Hantaan Virus on the Weihe Plain, China",REMOTE SENSING,NA,10.3390/rs9101076,10,9,NA,China,NA,NA,Section: 0,NA,NA,NA
766,ft_766,NA,Include - Title/Abstract,NA,TQTE468V,2012,"Tersago, Katrien; Crespin, Laurent; Verhagen, Ron; Leirs, Herwig",IMPACT OF PUUMALA VIRUS INFECTION ON MATURATION AND SURVIVAL IN BANK VOLES: A CAPTURE-MARK-RECAPTURE ANALYSIS,JOURNAL OF WILDLIFE DISEASES,0090-3558,10.7589/0090-3558-48.1.148,1,48,NA,Belgium,NA,NA,Section: 0,NA,NA,NA
767,ft_767,NA,Include - Title/Abstract,NA,MPDIZLH4,2011,"Klein, Terry A.; Kang, Hae Ji; Gu, Se Hun; Moon, Sungsil; Shim, So-Hee; Park, Yon Mi; Lee, Sook-Young; Kim, Heung-Chul; Chong, Sung-Tae; O'Guinn, Monica; Lee, John S.; Turell, Michael J.; Song, Jin-Won","Hantaan virus surveillance targeting small mammals at Dagmar North Training Area, Gyeonggi Province, Republic of Korea, 2001-2005",JOURNAL OF VECTOR ECOLOGY,NA,10.1111/j.1948-7134.2011.00178.x,2,36,NA,Republic of Korea,NA,NA,Section: 0,NA,NA,NA
768,ft_768,NA,Include - Title/Abstract,NA,IVCX8L4R,2020,"Chekashov, V. N.; Zakharov, K. S.; Magerramov, Sh. V.; Selenina, A. G.; Martsokha, K. S.; Shilov, M. M.; Sludsky, A. A.; Ermakov, N. M.; Korneev, M. G.; Tolokonnikova, S. I.; Tarasov, M. A.; Sonin, V. K.; Romanov, R. A.; Matrosov, A. N.; Popov, N. V.",Ecological Aspects of the Outbreak of Hemorrhagic Fever with Renal Syndrome in the Territory of the Saratov Region,BIOLOGY BULLETIN,1062-3590,10.1134/S1062359020100301,10,47,NA,Russia,NA,NA,Section: 0,NA,NA,NA
769,ft_769,NA,Exclude - Full Text,"No data, modelling",CZVNEJ6X,2015,"Luis, Angela D.; Douglass, Richard J.; Mills, James N.; Bjornstad, Ottar N.",Environmental fluctuations lead to predictability in Sin Nombre hantavirus outbreaks,ECOLOGY,0012-9658,10.1890/14-1910.1,6,96,NA,NA,NA,NA,Section: 0,NA,NA,NA
770,ft_770,NA,Include - Title/Abstract,NA,XVLZJ5I8,2014,"Nikolic, Valentina; Stajkovic, N.; Stamenkovic, Gorana; Cekanac, R.; Marusic, P.; Jovanovic, N.; Krstic, Milena; Mladenovic, J.; Siljic, Marina; Gligic, Ana; Stanojevic, Maja",COMPARATIVE PHYLOGENETIC ANALYSIS OF DOBRAVA-BELGRADE VIRUS L AND S GENETIC SEGMENTS ISOLATED FROM AN ANIMAL RESERVOIR IN SERBIA,ARCHIVES OF BIOLOGICAL SCIENCES,0354-4664,10.2298/ABS1402497N,2,66,NA,Serbia,NA,NA,Section: 0,NA,NA,NA
771,ft_771,NA,Include - Title/Abstract,NA,FWFF4R92,2001,"Camaioni, M; Botten, J; Hjelle, B; Loew, SS",Hantavirus seroconversion of wild-caught Peromyscus during quarantine,EMERGING INFECTIOUS DISEASES,1080-6040,10.3201/eid0703.017329,3,7,NA,USA,NA,NA,Section: 0,NA,NA,NA
772,ft_772,NA,Include - Title/Abstract,NA,JGT6JB2J,2001,"Mackelprang, R; Dearing, MD; St Jeor, S","High prevalence of Sin Nombre virus in rodent populations, central Utah: A consequence of human disturbance?",EMERGING INFECTIOUS DISEASES,1080-6040,10.3201/eid0703.017328,3,7,NA,USA,NA,NA,Section: 0,NA,NA,NA
773,ft_773,NA,Include - Title/Abstract,NA,R4WCXBZL,1995,"KOZUCH, O; GURYCOVA, D; LYSY, J; LABUDA, M","MIXED NATURAL FOCUS OF TICK-BORNE ENCEPHALITIS, TULAREMIA AND HEMORRHAGIC-FEVER WITH RENAL SYNDROME IN WEST SLOVAKIA",ACTA VIROLOGICA,0001-723X,NA,2,39,NA,Slovakia,NA,NA,Section: 0,NA,NA,NA
